2726,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Денежниково,Дом, д.16
2727,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Речицы,Улица, ул. Речицкий з-д
2728,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Молодежная
2729,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Спартак,Дом, д.20
2730,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коминтерна
2731,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Дружба,Улица, ул. Первомайская
2732,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Старниково,Дом, д.71
2733,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Вохринка,Дом, д.81
2734,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Дергаевская
2735,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Верея,Дом, д.156а
2736,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Электроизолятор,Дом, д.21
2737,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Свободы
2738,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Чкалова
2739,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Константиново,Дом, д.1
2740,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Литвиново,Улица, ул. Железнодорожная
2741,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Опаринская
2742,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Свободы
2743,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Речицы,Улица, ул. Совхозная
2744,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Прудовая
2745,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Десантная
2746,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Маяковская
2747,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Солнцева
2748,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Красноармейская
2749,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Шахова
2750,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Нащекино,Дом, д.43
2751,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Дубовая Роща,Улица, ул. Новая
2752,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Дружба,Улица, ул. Ленина
2753,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Красноармейская
2754,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Константиново,Дом, д.8
2755,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Ильинский,Улица, ул. Ленинская
2756,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Дергаевская
2757,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Гурьева
2758,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Михалевича
2759,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Шахова
2760,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Островцы,Улица, ул. Подмосковная
2761,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Чкалова
2762,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Ганусово,Дом, д.26
2763,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Шахова
2764,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Островцы,Улица, ул. Подмосковная
2765,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Красноармейская
2766,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Морозово,Дом, д.89
2767,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Гжельского Кирпичного Завода,Дом, д.13
2768,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Бронницкая
2769,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Пограничная
2770,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Комбината стройматериалов-1,Дом, д.4
2771,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, пр-д. Осипенко
2772,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Первомайская
2773,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Родники,Улица, ул. Б. Учительская
2774,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. станции Бронницы,Улица, ул. Лесная
2775,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Денежниково,Дом, д.8
2776,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Гжель,Улица, ул. Центральная
2777,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Солнечная
2778,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Ильинский,Улица, ул. Интернациональная
2779,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2780,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Полевая
2781,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Красная
2782,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Вохринка,Дом, д.83
2783,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Панино,Улица, ул. Новая
2784,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Королева
2785,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Фоминское,Дом, д.6
2786,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Чугунова
2787,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Космонавтов
2788,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Спец СМУ (ПМК-17)
2789,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Молодежная
2790,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Свободы
2791,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Сосновый Бор
2792,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2793,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Бронницкая
2794,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Королева
2795,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Никитское,Дом, д.15
2796,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2797,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Гурьева
2798,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Долевая
2799,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Электроизолятор,Дом, д.3
2800,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Ильинский,Улица, ул. Октябрьская
2801,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Сосновый Бор
2802,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Электроизолятор,Дом, д.28
2803,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2804,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пос. Красный Октябрь
2805,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Речицы,Улица, ул. Совхозная
2806,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Вохринка,Дом, д.89
2807,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Космонавтов
2808,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Ильинский,Улица, ул. Опаринская
2809,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Гурьева
2810,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Спартак,Дом, д.14
2811,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Ильинский,Улица, ул. Октябрьская
2812,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Спец СМУ (ПМК-17)
2813,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Космонавтов
2814,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Приборостроителей
2815,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Бронницкая
2816,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Никитское,Дом, д.66
2817,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Комбината стройматериалов-1,Дом, д.10
2818,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2819,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Солнечная
2820,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Спартак,Дом, д.25
2821,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2822,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Гжельского Кирпичного Завода,Дом, д.22
2823,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ш. Донинское
2824,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Аэропортовская
2825,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Первомайская
2826,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Комбината стройматериалов-1,Дом, д.1
2827,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Спартак,Дом, д.22
2828,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2829,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Дубовая Роща,Улица, ул. Новая
2830,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Солнечная
2831,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Дергаевская
2832,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Электроизолятор,Дом, д.30
2833,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Речицы,Улица, ул. Речицкий з-д
2834,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Полевая
2835,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Никитское,Дом, д.71
2836,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Молодежная
2837,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Космонавтов
2838,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Солнечная
2839,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Десантная
2840,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Приборостроителей
2841,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Чапаева
2842,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Островцы,Улица, ул. Подмосковная
2843,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Электроизолятор,Дом, д.12
2844,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Ульянино,Дом, д.3
2845,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Речицы,Улица, ул. Речицкий з-д
2846,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Октябрьская
2847,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Дружба,Улица, ул. Первомайская
2848,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Шахова
2849,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Никоновское,Улица, ул. Пионерская
2850,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2851,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Серова
2852,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Михалевича
2853,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пос. Красный Октябрь
2854,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Кратово,Улица, ул. Чурилина
2855,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д.Чекменево,Дом, д.66
2856,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Прудовая
2857,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Нащекино,Дом, д.48
2858,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Кратово,Улица, ул. Ленгника
2859,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Космонавтов
2860,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Прудовая
2861,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Старниково,Дом, д.112а
2862,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Грибоедова
2863,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Ремзавода,Дом, д.1
2864,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Никитское,Дом, д.14
2865,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Кирова
2866,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Аэропортовская
2867,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Серова
2868,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Солнечная
2869,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Ильинский,Улица, ул. Октябрьская
2870,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Речицы,Улица, ул. Совхозная
2871,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Карла Маркса
2872,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Воровского
2873,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Крымская
2874,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Речицы,Улица, ул. Речицкий з-д
2875,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Народная
2876,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Гурьева
2877,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Михалевича
2878,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Тракторная
2879,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Вохринка,Дом, д.87
2880,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Ганусово,Дом, д.60
2881,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Куйбышева
2882,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Ильинский,Улица, ул. Октябрьская
2883,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Старниково,Дом, д.111
2884,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Полевая
2885,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2886,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. им. Тельмана,Дом, д.6
2887,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коминтерна
2888,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Речицы,Улица, ул. Речицкий з-д
2889,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Народная
2890,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Москворецкая
2891,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пр-д. Спортивный
2892,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Кирова
2893,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Вохринка,Дом, д.75
2894,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Родники,Улица, ул. Б. Учительская
2895,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Народная
2896,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Ногина
2897,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Ильинский,Улица, ул. Московская
2898,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Кузяевского Фарфорового Завода,Дом, д.16
2899,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Гурьева
2900,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Бронницкая
2901,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Чугунова
2902,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Родники,Улица, ул. Центросоюзная
2903,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Чугунова
2904,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Молодежная
2905,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Кратово,Улица, ул. Нижегородская
2906,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Красная
2907,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2908,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Ульянино,Дом, д.4
2909,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Никоновское,Улица, ул. Пионерская
2910,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Ганусово,Дом, д.31
2911,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Чугунова
2912,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пос. Красный Октябрь
2913,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Толмачево,Дом, д.29
2914,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Кратово,Улица, ул. Железнодорожная
2915,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Чугунова
2916,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Бронницкая
2917,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Кратово,Улица, ул. Мира
2918,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Константиново,Дом, д.16
2919,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Красная
2920,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Свободы
2921,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Чугунова
2922,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Литвиново,Улица, ул. Железнодорожная
2923,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Полевая
2924,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Ильинский,Улица, ул. Опаринская
2925,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пос. Красный Октябрь
2926,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Северная
2927,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Речицы,Улица, ул. Школьная
2928,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д.Чекменево,Дом, д.65
2929,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Гурьева
2930,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Ильинский,Улица, ул. Опаринская
2931,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Молодежная
2932,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Кратово,Улица, ул. Коммунистическая
2933,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Спартак,Дом, д.18
2934,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Родники,Улица, ул. Б. Учительская
2935,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2936,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Комбината стройматериалов-1,Дом, д.9
2937,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2938,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Ильинский,Улица, ул. Московская
2939,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Ганусово,Дом, д.17
2940,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пр-д. Деревообделочный
2941,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Фоминское,Дом, д.14
2942,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пос. Красный Октябрь
2943,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пр-д. Спортивный
2944,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Кратово,Улица, ул. Тверская
2945,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Рабочая
2946,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Дубовая Роща,Улица, ул. Спортивная
2947,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Михалевича
2948,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. им. Тельмана,Дом, д.12
2949,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Советская
2950,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Электроизолятор,Дом, д.18
2951,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коминтерна
2952,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Речицы,Улица, ул. Совхозная
2953,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Новостройки
2954,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Десантная
2955,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Ремзавода,Дом, д.104
2956,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Кратово,Улица, ул. Советская
2957,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Михалевича
2958,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Дружба,Улица, ул. Первомайская
2959,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Речицы,Улица, ул. Совхозная
2960,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Серова
2961,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2962,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Космонавтов
2963,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2964,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Солнечная
2965,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Спартак,Дом, д.6
2966,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Родники,Улица, ул. Б. Учительская
2967,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Красноармейская
2968,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Садовая
2969,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Ильинский,Улица, ул. Советская
2970,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пос. Красный Октябрь
