Полный адрес,Сегмент 1,Значение ,Сегмент 2,Значение,Сегмент 2,Значение ,Сегмент 3,Значение,Сегмент 4,Значение,Сегмент 5,Значение
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.13А",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.13А,,
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.16",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.16,,
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.19",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.19,,
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.20",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.20,,
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.21",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.21,,
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.22",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.22,,
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.23А",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.23А,,
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.24 ",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.24 ,,
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.26",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.26,,
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.27",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.27,,
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.28",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.28,,
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.29",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.29,,
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.30",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.30,,
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.33",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.33,,
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.34",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.34,,
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.35",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.35,,
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.36",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.36,,
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.38",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.38,,
"Московская обл., Богородский МР, г. Ногинск, ул. Текстилей,  д.42",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Текстилей,Дом, д.42,,
"Московская обл., Богородский МР, г. Ногинск, ул. Тихая,  д.4",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Тихая,Дом, д.4,,
"Московская обл., Богородский МР, г. Ногинск, ул. Тихая,  д.6",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Тихая,Дом, д.6,,
"Московская обл., Богородский МР, г. Ногинск, ул. Тихая,  д.8",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Тихая,Дом, д.8,,
"Московская обл., Богородский МР, г. Ногинск, ул. Тихая,  д.14",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Тихая,Дом, д.14,,
"Московская обл., Богородский МР, г. Ногинск, ул. Тихая,  д.16",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Тихая,Дом, д.16,,
"Московская обл., Богородский МР, г. Ногинск, ул. Трудовая,  д.8",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Трудовая,Дом, д.8,,
"Московская обл., Богородский МР, г. Ногинск, ул. Тихвинская,  д.10А",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Тихвинская,Дом, д.10А,,
"Московская обл., Богородский МР, г. Ногинск, ул. Фестивальная,  д.28",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Фестивальная,Дом, д.28,,
"Московская обл., Богородский МР, г. Ногинск, ул. Шоссе Энтузиастов,  д.2",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Шоссе Энтузиастов,Дом, д.2,,
"Московская обл., Богородский МР, г. Ногинск, ул. Шоссе Энтузиастов,  д.2А",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Шоссе Энтузиастов,Дом, д.2А,,
"Московская обл., Богородский МР, г. Ногинск, ул. Шоссе Энтузиастов,  д.13",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Шоссе Энтузиастов,Дом, д.13,,
"Московская обл., Богородский МР, г. Ногинск, ул. Шоссе Энтузиастов,  д.15А",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Шоссе Энтузиастов,Дом, д.15А,,
"Московская обл., Богородский МР, г. Ногинск, ул. Шоссе Энтузиастов,  д.15Б",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Шоссе Энтузиастов,Дом, д.15Б,,
"Московская обл., Богородский МР, г. Ногинск, ул. Шоссе Энтузиастов,  д.15В",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Шоссе Энтузиастов,Дом, д.15В,,
"Московская обл., Богородский МР, г. Ногинск, ул. Электрическая,  д.3",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Электрическая,Дом, д.3,,
"Московская обл., Богородский МР, г. Ногинск, ул. Электрическая,  д.5",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Электрическая,Дом, д.5,,
"Московская обл., Богородский МР, г. Ногинск, ул. Электрическая,  д.7",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Электрическая,Дом, д.7,,
"Московская обл., Богородский МР, г. Ногинск, ул. Электрическая,  д.9",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Электрическая,Дом, д.9,,
"Московская обл., Богородский МР, г. Ногинск, Электростальское шоссе,  д.9А",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,Электростальское шоссе,Дом, д.9А,,
"Московская обл., Богородский МР, г. Ногинск, Электростальское шоссе,  д.11",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,Электростальское шоссе,Дом, д.11,,
"Московская обл., Богородский МР, г. Ногинск, Электростальское шоссе,  д.11Б",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,Электростальское шоссе,Дом, д.11Б,,
"Московская обл., Богородский МР, г. Ногинск, Электростальское шоссе,  д.13",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,Электростальское шоссе,Дом, д.13,,
"Московская обл., Богородский МР, г. Ногинск, Электростальское шоссе,  д.13а",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,Электростальское шоссе,Дом, д.13а,,
"Московская обл., Богородский МР, г. Ногинск, Электростальское шоссе,  д.15",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,Электростальское шоссе,Дом, д.15,,
"Московская обл., Богородский МР, г. Ногинск, Электростальское шоссе,  д.17А",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,Электростальское шоссе,Дом, д.17А,,
"Московская обл., Богородский МР, г. Ногинск, ул. Юбилейная,  д.7А",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Юбилейная,Дом, д.7А,,
"Московская обл., Богородский МР, г. Ногинск, ул. Юбилейная,  д.9",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Юбилейная,Дом, д.9,,
"Московская обл., Богородский МР, г. Ногинск, ул. Юбилейная,  д.15",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Юбилейная,Дом, д.15,,
"Московская обл., Богородский МР, г. Ногинск, ул. Юбилейная,  д.17",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Юбилейная,Дом, д.17,,
"Московская обл., Богородский МР, г. Ногинск, ул. Ямская,  д.2",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. Ямская,Дом, д.2,,
"Московская обл., Богородский МР, г. Электроугли, 1-й Троицкий пер.,  д.5",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,1-й Троицкий пер.,Дом, д.5,,
"Московская обл., Богородский МР, г. Электроугли, 1-й Троицкий пер.,  д.6А",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,1-й Троицкий пер.,Дом, д.6А,,
"Московская обл., Богородский МР, г. Электроугли, 1-й Троицкий пер.,  д.7",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,1-й Троицкий пер.,Дом, д.7,,
"Московская обл., Богородский МР, г. Электроугли, 1-й Троицкий пер.,  д.8",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,1-й Троицкий пер.,Дом, д.8,,
"Московская обл., Богородский МР, г. Электроугли, 1-й Троицкий пер.,  д.10А",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,1-й Троицкий пер.,Дом, д.10А,,
"Московская обл., Богородский МР, г. Электроугли, 2-й Троицкий пер.,  д.3",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,2-й Троицкий пер.,Дом, д.3,,
"Московская обл., Богородский МР, г. Электроугли, 2-й Троицкий пер.,  д.4",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,2-й Троицкий пер.,Дом, д.4,,
"Московская обл., Богородский МР, г. Электроугли, 2-й Троицкий пер.,  д.5",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,2-й Троицкий пер.,Дом, д.5,,
"Московская обл., Богородский МР, г. Электроугли, 2-й Троицкий пер.,  д.6 ",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,2-й Троицкий пер.,Дом, д.6 ,,
"Московская обл., Богородский МР, г. Электроугли, 2-й Троицкий пер.,  д.16/1",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,2-й Троицкий пер.,Дом, д.16/1,,
"Московская обл., Богородский МР, г. Электроугли, ул. Березинская,  д.4",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Березинская,Дом, д.4,,
"Московская обл., Богородский МР, г. Электроугли, ул. Железнодорожная,  д.31",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Железнодорожная,Дом, д.31,,
"Московская обл., Богородский МР, г. Электроугли, Заводской тупик,  д.1",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,Заводской тупик,Дом, д.1,,
"Московская обл., Богородский МР, г. Электроугли, ул. Комсомольская,  д.5",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Комсомольская,Дом, д.5,,
"Московская обл., Богородский МР, г. Электроугли, ул. Комсомольская,  д.7",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Комсомольская,Дом, д.7,,
"Московская обл., Богородский МР, г. Электроугли, ул. Комсомольская,  д.15",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Комсомольская,Дом, д.15,,
"Московская обл., Богородский МР, г. Электроугли, ул. Комсомольская,  д.15А",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Комсомольская,Дом, д.15А,,
"Московская обл., Богородский МР, г. Электроугли, ул. Комсомольская,  д.26",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Комсомольская,Дом, д.26,,
"Московская обл., Богородский МР, г. Электроугли, ул. Комсомольская,  д.26А",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Комсомольская,Дом, д.26А,,
"Московская обл., Богородский МР, г. Электроугли, ул. Комсомольская,  д.27",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Комсомольская,Дом, д.27,,
"Московская обл., Богородский МР, г. Электроугли, ул. Комсомольская,  д.29",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Комсомольская,Дом, д.29,,
"Московская обл., Богородский МР, г. Электроугли, ул. Комсомольская,  д.40",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Комсомольская,Дом, д.40,,
"Московская обл., Богородский МР, г. Электроугли, ул. Комсомольская,  д.42",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Комсомольская,Дом, д.42,,
"Московская обл., Богородский МР, г. Электроугли, ул. Комсомольская,  д.44",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Комсомольская,Дом, д.44,,
"Московская обл., Богородский МР, г. Электроугли, ул. Комсомольская,  д.46",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Комсомольская,Дом, д.46,,
"Московская обл., Богородский МР, г. Электроугли, ул. Комсомольская,  д.48",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Комсомольская,Дом, д.48,,
"Московская обл., Богородский МР, г. Электроугли, ул. Марьинская,  д.3",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Марьинская,Дом, д.3,,
"Московская обл., Богородский МР, г. Электроугли, ул. Марьинская,  д.9",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Марьинская,Дом, д.9,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.3",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.3,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.4",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.4,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.5",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.5,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.8",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.8,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.10/5",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.10/5,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.14",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.14,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.14А",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.14А,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.16 ",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.16 ,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.18",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.18,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.18А",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.18А,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.22",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.22,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.24",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.24,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.28",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.28,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.30",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.30,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.36",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.36,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.36А",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.36А,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.37",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.37,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.38",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.38,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.40",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.40,,
"Московская обл., Богородский МР, г. Электроугли, ул. Маяковского,  д.42/1",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Маяковского,Дом, д.42/1,,
"Московская обл., Богородский МР, г. Электроугли, пл. Октября,  д.3",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Площадь,пл. Октября,Дом, д.3,,
"Московская обл., Богородский МР, г. Электроугли, пл. Октября,  д.5",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Площадь,пл. Октября,Дом, д.5,,
"Московская обл., Богородский МР, г. Электроугли, ул. Парковая,  д.1",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Парковая,Дом, д.1,,
"Московская обл., Богородский МР, г. Электроугли, ул. Парковая,  д.47",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Парковая,Дом, д.47,,
"Московская обл., Богородский МР, г. Электроугли, ул. Пионерская,  д.2",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Пионерская,Дом, д.2,,
"Московская обл., Богородский МР, г. Электроугли, ул. Пионерская,  д.2А",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Пионерская,Дом, д.2А,,
"Московская обл., Богородский МР, г. Электроугли, ул. Пионерская,  д.3",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Пионерская,Дом, д.3,,
"Московская обл., Богородский МР, г. Электроугли, ул. Пионерская,  д.4",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Пионерская,Дом, д.4,,
"Московская обл., Богородский МР, г. Электроугли, ул. Пионерская,  д.5",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Пионерская,Дом, д.5,,
"Московская обл., Богородский МР, г. Электроугли, ул. Пионерская,  д.6",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Пионерская,Дом, д.6,,
"Московская обл., Богородский МР, г. Электроугли, ул. Пионерская,  д.6А",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Пионерская,Дом, д.6А,,
"Московская обл., Богородский МР, г. Электроугли, ул. Полевая,  д.4",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Полевая,Дом, д.4,,
"Московская обл., Богородский МР, г. Электроугли, Радужный пер.,  д.3",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,Радужный пер.,Дом, д.3,,
"Московская обл., Богородский МР, г. Электроугли, Садовый пер.,  д.3",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,Садовый пер.,Дом, д.3,,
"Московская обл., Богородский МР, г. Электроугли, Садовый пер.,  д.7",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,Садовый пер.,Дом, д.7,,
"Московская обл., Богородский МР, г. Электроугли, Садовый пер.,  д.9",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,Садовый пер.,Дом, д.9,,
"Московская обл., Богородский МР, г. Электроугли, ул. Советская,  д.1",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Советская,Дом, д.1,,
"Московская обл., Богородский МР, г. Электроугли, ул. Советская,  д.2/24",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Советская,Дом, д.2/24,,
"Московская обл., Богородский МР, г. Электроугли, ул. Советская,  д.3",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Советская,Дом, д.3,,
"Московская обл., Богородский МР, г. Электроугли, ул. Советская,  д.5",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Советская,Дом, д.5,,
"Московская обл., Богородский МР, г. Электроугли, ул. Советская,  д.4/17",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Советская,Дом, д.4/17,,
"Московская обл., Богородский МР, г. Электроугли, ул. Советская,  д.6/28",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Советская,Дом, д.6/28,,
"Московская обл., Богородский МР, г. Электроугли, ул. Советская,  д.7",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Советская,Дом, д.7,,
"Московская обл., Богородский МР, г. Электроугли, ул. Советская,  д.8",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Советская,Дом, д.8,,
"Московская обл., Богородский МР, г. Электроугли, ул. Советская,  д.9",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Советская,Дом, д.9,,
"Московская обл., Богородский МР, г. Электроугли, ул. Советская,  д.10/31",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Советская,Дом, д.10/31,,
"Московская обл., Богородский МР, г. Электроугли, ул. Советская,  д.11",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Советская,Дом, д.11,,
"Московская обл., Богородский МР, г. Электроугли, ул. Советская,  д.13",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Советская,Дом, д.13,,
"Московская обл., Богородский МР, г. Электроугли, ул. Советская,  д.13А",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Советская,Дом, д.13А,,
"Московская обл., Богородский МР, г. Электроугли, ул. Троицкая,  д.3",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Троицкая,Дом, д.3,,
"Московская обл., Богородский МР, г. Электроугли, ул. Троицкая,  д.4",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Троицкая,Дом, д.4,,
"Московская обл., Богородский МР, г. Электроугли, ул. Троицкая,  д.6/2 ",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Троицкая,Дом, д.6/2 ,,
"Московская обл., Богородский МР, г. Электроугли, ул. Троицкая,  д.7/1",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Троицкая,Дом, д.7/1,,
"Московская обл., Богородский МР, г. Электроугли, ул. Троицкая,  д.8/1",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Троицкая,Дом, д.8/1,,
"Московская обл., Богородский МР, г. Электроугли, ул. Троицкая,  д.10",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Троицкая,Дом, д.10,,
"Московская обл., Богородский МР, г. Электроугли, ул. Троицкая,  д.12",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Троицкая,Дом, д.12,,
"Московская обл., Богородский МР, г. Электроугли, ул. Троицкая,  д.27",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Троицкая,Дом, д.27,,
"Московская обл., Богородский МР, г. Электроугли, ул. Троицкая,  д.31",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Электроугли,Улица,ул. Троицкая,Дом, д.31,,
